name,website,sources,discovery_status
1X,1x.tech,twitter,ok
Aalo Atomics,aalo.com,twitter,ok
Aethero,aethero.com,twitter,needs_manual
Aleph Neuro,,twitter,ok
Alloy Robotics,,twitter,ok
alphaXiv,alphaxiv.org,twitter,ok
Amazon,amazon.jobs,twitter,ok
Ambition Labs,ambition.inc,twitter,needs_manual
AMD,amd.com,notion,ok
AMI Labs,,twitter,ok
Anduril,anduril.com,manual,ok
Anthropic,anthropic.com,manual,ok
Anvil Robotics,,twitter,ok
Applied Brain Research,appliedbrainresearch.com,notion,ok
Applied Electrodynamics,ae-dyn.com,twitter,needs_manual
Applied Intuition,appliedintuition.com,manual,ok
Arc Institute,arcinstitute.org,twitter,ok
Archer Aviation,archer.com,twitter,ok
Arena Physica,,twitter,ok
Asimov,asimov.com,twitter,ok
Astro Mechanica,,twitter,ok
Atomic Industries,atomic.industries,twitter,ok
Atomic Semi,atomicsemi.com,notion,ok
Attune Neurosciences,attuneneuro.com,notion,ok
Axoft,axoft.us,notion,ok
BitRobot,bitrobot.ai,twitter,needs_manual
Blumind,blumind.ai,notion,ok
Boom Supersonic,boomsupersonic.com,twitter,ok
Boston Dynamics,bostondynamics.com,twitter,ok
Bracket Bot,bracket.bot,twitter,ok
comma.ai,comma.ai,twitter,ok
Commonwealth Fusion Systems,cfs.energy,twitter,ok
Cortical Labs,corticallabs.com,notion,ok
CuspAI,cusp.ai,twitter,ok
Cyberworks Robotics,cyberworksrobotics.com,notion,needs_manual
d-Matrix,d-matrix.ai,notion,ok
D1 Humanoid,omakaserobotics.ai,twitter,ok
Databricks,databricks.com,manual,ok
Diode Computers,,twitter,ok
Dominion Dynamics,dominion-dynamics.com,twitter,ok
Dyna Robotics,,twitter,ok
Dynamics Lab,dynamicslab.ai,twitter,needs_manual
E11 Bio,e11.bio,notion,ok
Efference,,twitter,needs_manual
Elai,elai.io,notion,ok
Epiloid Biotech,epiloid.framer.website,notion,needs_manual
Etched,etched.com,notion,ok
Exa Laboratories,exalaboratories.com,notion,ok
Extropic,extropic.ai,twitter,ok
Fauna Robotics,faunarobotics.com,twitter,dead
Figma,figma.com,manual,ok
Figure,figure.ai,twitter,ok
Flexion,flexion.ai,twitter,ok
FLORA,florafauna.ai,twitter,ok
Flyby Robotics,flybyrobotics.com,notion,needs_manual
Forest Neurotech,forestneurotech.org,notion,ok
GelSight,gelsight.com,twitter,ok
Generalist AI,generalistai.com,twitter,ok
Genesis AI,,twitter,ok
Ginkgo Bioworks,ginkgobioworks.com,twitter,ok
Google,google.com,twitter,ok
Google DeepMind,deepmind.google,twitter,ok
Gumloop,gumloop.com,twitter,ok
Hark,,twitter,ok
Helion Energy,helionenergy.com,twitter,ok
hey girlie,heygirlie.app,twitter,needs_manual
heyclicky,heyclicky.com,twitter,needs_manual
Holiday Robotics,holiday-robotics.com,manual,pending
Hugging Face,huggingface.co,twitter,ok
HumonOS,humonos.com,twitter,needs_manual
HyperTunnel,hypertunnel.com,notion,ok
Impulse Space,impulsespace.com,twitter,ok
INBRAIN Neuroelectronics,inbrain-neuroelectronics.com,notion,ok
Integral Neurotech,integralneuro.com,notion,ok
Interlatent,,twitter,needs_manual
Intract,intract.ca,notion,dead
Inversion Semiconductor,inversionsemi.com,twitter,needs_manual
IonQ,ionq.com,twitter,ok
